Model,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,mcc_mean,mcc_sd
Random Forest,0.9509186351706036,0.003426623976826979,0.9559180984685579,0.009009637728782351,0.9455818022747156,0.007574754443364243,0.9506606586981811,0.0033311202570666695,0.9876605975434172,0.0026812833761578974,0.9861794581947301,0.004348551966014763,0.902001755344201,0.00687555569117283
XGBoost,0.9562554680664916,0.0025507226136681324,0.9608310332998962,0.006635822001067723,0.9513560804899388,0.0027444246966506144,0.9560493508125975,0.0023867319823689314,0.9898298364497963,0.002032881305810452,0.9895365782816692,0.002647345406074573,0.9125939113305804,0.005172252028897299
SVM,0.9416447944007,0.013687495577675932,0.9474160027993269,0.008847833083089758,0.9352580927384077,0.026582857763545697,0.9410974221189943,0.014697948457621771,0.98294965972648,0.0041305467543330645,0.9818012091152823,0.004326309162742726,0.8837136739533316,0.026905787491505736
